name,year,height,lat,lng,address,kaptCode,단지코드,지하주차대수,부대복리시설,accessible
나성,1990,2.3,36.32813248720369,127.40865344500423,대전광역시 중구 용두동 93-6,30140100219514,,,,False
성재빌리지,2021,2.7 (검증필요),36.32797719482062,127.40888199557352,대전광역시 중구 용두동 93-7,30140320418297,,,,False
(93-8),1989,2.3,36.328339101767696,127.4086720101094,대전광역시 중구 용두동 93-8,30140312133057,,,,False
선비촌빌라,2002,2.3,36.32898897818393,127.40846694973044,대전광역시 중구 용두동 95-4,30140312133058,,,,False
금남맨션,1985,2.3,36.32850636161975,127.40757532746598,대전광역시 중구 용두동 97-5,30140212133059,,,,False
늘푸른,1997,2.3,36.33022765912408,127.40801298803878,대전광역시 중구 용두동 99-4,30140100010921,A30183101,130.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",Needs Review
대진그린빌라,1998,2.3,36.32987936810883,127.4046055908538,대전광역시 중구 용두동 121-5,30140312133062,,,,False
(137-4),1988,2.3,36.33220616500502,127.40281979781044,대전광역시 중구 용두동 137-4,30140312133063,,,,False
(137-10),1988,2.3,36.332130155197234,127.40272454146518,대전광역시 중구 용두동 137-10,30140312133064,,,,False
보람아트빌라,1997,2.3,36.33272149375647,127.402868567995,대전광역시 중구 용두동 145-4,30140312133067,,,,False
한라무지개,1993,2.3,36.333638081306205,127.40135891978696,대전광역시 중구 용두동 160-1,30140100010924,A68083004,0.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",False
용마빌라,1993,2.3,36.3340180214001,127.40122013416078,대전광역시 중구 용두동 161-2,30140312133070,,,,False
가온빌라,2024,2.7 (검증필요),36.33399419746766,127.40097247904043,대전광역시 중구 용두동 161-6,30140320452369,,,,False
(161-7),1989,2.3,36.33343260338863,127.40055782721234,대전광역시 중구 용두동 161-7,30140312133071,,,,False
현대빌라,1991,2.3,36.334198019105614,127.4005701296616,대전광역시 중구 용두동 163-4,30140312133072,,,,False
광흥,1986,2.3,36.33259837148262,127.40115998015312,대전광역시 중구 용두동 166-2,30140100010920,,,,False
삼남빌라,1986,2.3,36.33465070633655,127.40236366254526,대전광역시 중구 용두동 179-1,30140312133075,,,,False
